"country","resort","year","month","date","lower","upper"
"Austria","Kuhtai",2014,1,"2014-1-1",65,85
"Austria","Kuhtai",2015,1,"2015-1-1",36,66
"Austria","Kuhtai",2016,1,"2016-1-1",48,53
"Austria","Kuhtai",2017,1,"2017-1-1",35,40
"Austria","Kuhtai",2014,2,"2014-2-1",77,97
"Austria","Kuhtai",2015,2,"2015-2-1",77,106
"Austria","Kuhtai",2016,2,"2016-2-1",78,84
"Austria","Kuhtai",2014,3,"2014-3-1",98,118
"Austria","Kuhtai",2015,3,"2015-3-1",90,115
"Austria","Kuhtai",2016,3,"2016-3-1",103,108
"Austria","Kuhtai",2014,4,"2014-4-1",55,78
"Austria","Kuhtai",2015,4,"2015-4-1",32,58
"Austria","Kuhtai",2016,4,"2016-4-1",33,36
"Austria","Obergurgl",2013,11,"2013-11-1",38,83
"Austria","Obergurgl",2015,11,"2015-11-1",1,30
"Austria","Obergurgl",2016,11,"2016-11-1",2,27
"Austria","Obergurgl",2013,12,"2013-12-1",52,132
"Austria","Obergurgl",2014,12,"2014-12-1",29,105
"Austria","Obergurgl",2015,12,"2015-12-1",0,60
"Austria","Obergurgl",2016,12,"2016-12-1",7,47
"Austria","Obergurgl",2014,1,"2014-1-1",72,174
"Austria","Obergurgl",2015,1,"2015-1-1",44,145
"Austria","Obergurgl",2016,1,"2016-1-1",18,123
"Austria","Obergurgl",2017,1,"2017-1-1",14,73
"Austria","Obergurgl",2014,2,"2014-2-1",79,177
"Austria","Obergurgl",2015,2,"2015-2-1",60,205
"Austria","Obergurgl",2016,2,"2016-2-1",26,170
"Austria","Obergurgl",2014,3,"2014-3-1",60,140
"Austria","Obergurgl",2015,3,"2015-3-1",32,173
"Austria","Obergurgl",2016,3,"2016-3-1",33,191
"Austria","Obergurgl",2014,4,"2014-4-1",30,123
"Austria","Obergurgl",2015,4,"2015-4-1",20,114
"Austria","Obergurgl",2016,4,"2016-4-1",14,94
"Austria","Saalbach",2013,11,"2013-11-1",4,8
"Austria","Saalbach",2015,11,"2015-11-1",0,2
"Austria","Saalbach",2016,11,"2016-11-1",5,13
"Austria","Saalbach",2013,12,"2013-12-1",25,61
"Austria","Saalbach",2014,12,"2014-12-1",25,70
"Austria","Saalbach",2015,12,"2015-12-1",6,27
"Austria","Saalbach",2016,12,"2016-12-1",28,48
"Austria","Saalbach",2014,1,"2014-1-1",21,69
"Austria","Saalbach",2015,1,"2015-1-1",43,83
"Austria","Saalbach",2016,1,"2016-1-1",41,87
"Austria","Saalbach",2017,1,"2017-1-1",37,62
"Austria","Saalbach",2014,2,"2014-2-1",30,86
"Austria","Saalbach",2015,2,"2015-2-1",69,118
"Austria","Saalbach",2016,2,"2016-2-1",45,80
"Austria","Saalbach",2014,3,"2014-3-1",21,70
"Austria","Saalbach",2015,3,"2015-3-1",47,112
"Austria","Saalbach",2016,3,"2016-3-1",47,79
"Austria","Saalbach",2014,4,"2014-4-1",5,22
"Austria","Saalbach",2015,4,"2015-4-1",12,37
"Austria","Saalbach",2016,4,"2016-4-1",6,13
"Austria","Neustift",2013,11,"2013-11-1",18,131
"Austria","Neustift",2015,11,"2015-11-1",10,83
"Austria","Neustift",2016,11,"2016-11-1",11,94
"Austria","Neustift",2013,12,"2013-12-1",22,167
"Austria","Neustift",2014,12,"2014-12-1",20,160
"Austria","Neustift",2015,12,"2015-12-1",15,100
"Austria","Neustift",2016,12,"2016-12-1",5,90
"Austria","Neustift",2014,1,"2014-1-1",33,216
"Austria","Neustift",2015,1,"2015-1-1",24,180
"Austria","Neustift",2016,1,"2016-1-1",22,124
"Austria","Neustift",2017,1,"2017-1-1",10,100
"Austria","Neustift",2014,2,"2014-2-1",38,298
"Austria","Neustift",2015,2,"2015-2-1",31,202
"Austria","Neustift",2016,2,"2016-2-1",28,187
"Austria","Neustift",2014,3,"2014-3-1",47,335
"Austria","Neustift",2015,3,"2015-3-1",28,210
"Austria","Neustift",2016,3,"2016-3-1",55,245
"Austria","Neustift",2014,4,"2014-4-1",17,356
"Austria","Neustift",2015,4,"2015-4-1",15,254
"Austria","Neustift",2016,4,"2016-4-1",9,256
"Austria","Bad-Hofgastein",2013,11,"2013-11-1",0,0
"Austria","Bad-Hofgastein",2015,11,"2015-11-1",2,3
"Austria","Bad-Hofgastein",2016,11,"2016-11-1",0,0
"Austria","Bad-Hofgastein",2013,12,"2013-12-1",27,103
"Austria","Bad-Hofgastein",2014,12,"2014-12-1",21,43
"Austria","Bad-Hofgastein",2015,12,"2015-12-1",30,40
"Austria","Bad-Hofgastein",2016,12,"2016-12-1",14,54
"Austria","Bad-Hofgastein",2014,1,"2014-1-1",21,99
"Austria","Bad-Hofgastein",2015,1,"2015-1-1",25,76
"Austria","Bad-Hofgastein",2016,1,"2016-1-1",34,80
"Austria","Bad-Hofgastein",2017,1,"2017-1-1",20,70
"Austria","Bad-Hofgastein",2014,2,"2014-2-1",26,140
"Austria","Bad-Hofgastein",2015,2,"2015-2-1",30,103
"Austria","Bad-Hofgastein",2016,2,"2016-2-1",40,117
"Austria","Bad-Hofgastein",2014,3,"2014-3-1",6,142
"Austria","Bad-Hofgastein",2015,3,"2015-3-1",32,116
"Austria","Bad-Hofgastein",2016,3,"2016-3-1",39,138
"Austria","Bad-Hofgastein",2014,4,"2014-4-1",0,61
"Austria","Bad-Hofgastein",2015,4,"2015-4-1",8,35
"Austria","Bad-Hofgastein",2016,4,"2016-4-1",1,30
"Austria","Kitzbuhel",2013,11,"2013-11-1",3,29
"Austria","Kitzbuhel",2015,11,"2015-11-1",1,46
"Austria","Kitzbuhel",2016,11,"2016-11-1",27,58
"Austria","Kitzbuhel",2013,12,"2013-12-1",17,68
"Austria","Kitzbuhel",2014,12,"2014-12-1",15,45
"Austria","Kitzbuhel",2015,12,"2015-12-1",41,45
"Austria","Kitzbuhel",2016,12,"2016-12-1",47,54
"Austria","Kitzbuhel",2014,1,"2014-1-1",39,88
"Austria","Kitzbuhel",2015,1,"2015-1-1",48,62
"Austria","Kitzbuhel",2016,1,"2016-1-1",31,60
"Austria","Kitzbuhel",2017,1,"2017-1-1",52,58
"Austria","Kitzbuhel",2014,2,"2014-2-1",39,103
"Austria","Kitzbuhel",2015,2,"2015-2-1",67,86
"Austria","Kitzbuhel",2016,2,"2016-2-1",56,86
"Austria","Kitzbuhel",2014,3,"2014-3-1",40,96
"Austria","Kitzbuhel",2015,3,"2015-3-1",72,104
"Austria","Kitzbuhel",2016,3,"2016-3-1",60,105
"Austria","Kitzbuhel",2014,4,"2014-4-1",7,64
"Austria","Kitzbuhel",2015,4,"2015-4-1",55,103
"Austria","Kitzbuhel",2016,4,"2016-4-1",25,86
"Austria","Igls",2013,11,"2013-11-1",2,11
"Austria","Igls",2015,11,"2015-11-1",0,2
"Austria","Igls",2016,11,"2016-11-1",0,0
"Austria","Igls",2013,12,"2013-12-1",18,48
"Austria","Igls",2014,12,"2014-12-1",15,46
"Austria","Igls",2015,12,"2015-12-1",7,19
"Austria","Igls",2016,12,"2016-12-1",2,6
"Austria","Igls",2014,1,"2014-1-1",27,62
"Austria","Igls",2015,1,"2015-1-1",18,45
"Austria","Igls",2016,1,"2016-1-1",5,40
"Austria","Igls",2017,1,"2017-1-1",15,15
"Austria","Igls",2014,2,"2014-2-1",27,61
"Austria","Igls",2015,2,"2015-2-1",47,122
"Austria","Igls",2016,2,"2016-2-1",20,57
"Austria","Igls",2014,3,"2014-3-1",18,52
"Austria","Igls",2015,3,"2015-3-1",40,110
"Austria","Igls",2016,3,"2016-3-1",22,59
"Austria","Igls",2014,4,"2014-4-1",0,9
"Austria","Igls",2015,4,"2015-4-1",3,10
"Austria","Igls",2016,4,"2016-4-1",0,0
