name,skipass,rank(5),altmin(m),altmax(m),totalpistes(km),bluepistes(km),redpistes(km),blackpistes(km),lifts,lift_Aerial_tramway/reversible_ropeway,lift_Circulating_ropeway/gondola_lift,lift_Combined_installation_(gondola_and_chair),lift_Chairlift,lift_T-bar_lift/platter/button_lift_,lift_Rope_tow/beginner_lift,lift_Sunkid_Moving_Carpet,lift_Funicular,lift_People_mover,lift_Cog_railway,lift_Snow_caterpillars_for_Cat-skiing,season_open,season_close,lattitude,longitude
Niedernsill,,,838,985,1,1,0,0,2,,,,,1,1,,,,,,,,47.28074,12.6475761
Oberwaldlifte – Faistenau,,,802,917,1.1,0.8,0.3,0,2,,,,,1,1,,,,,,,,47.7882632,13.251522
Raxalpe – Reichenau an der Rax,,,528,1600,3,1,2,0,2,1,,,,1,,,,,,,,,47.7011623,15.7401645
Reith bei Kitzbühel,,2.7,770,865,1.8,1.7,0.1,0,2,,,,,1,1,3,,,,,,,47.4766096,12.3414134
Schleppe Alm – Klagenfurt am Wörthersee,,,465,530,0.6,0.6,0,0,2,,,,1,1,,,,,,,,,46.641548,14.2866872
Schmiedhornlift – Wald (Faistenau),,,800,986,0.8,0.6,0,0.2,2,,,,,1,1,,,,,,,,47.7892055,13.241366
Schorschi-Lifte – St. Georgen am Walde,,,750,787,1,1,0,0,2,,,,,1,1,,,,,,,,48.3592841,14.8971214
Schwoich,,,600,696,0.6,0.6,0,0,2,,,,,1,1,,,,,,,,47.5450736,12.1405215
Siebenseelift – Wildalpen,,,670,840,1,1,0,0,2,,,,,1,1,,,,,,,,,
Silvretta Bielerhöhe – Partenen,,,,1920,2,2,0,0,2,1,,,,1,,,,,,,2017-12-22,2018-05-01,46.919662,10.0783183
Sternstein – Bad Leonfelden,,2.7,814,1102,5,1,4,0,2,,,1,,1,,1,,,,,2017-12-01,2018-04-02,48.5537438,14.2856876
Tirolina (Haltjochlift) – Hinterthiersee,,2.5,852,1077,4,2,1.2,0.8,2,,,,,1,1,,,,,,2017-12-16,2018-03-18,,
Tonnerhütte – Mühlen,,,1640,1820,4,3,1,0,2,,,,,1,1,,,,,,,,47.0518253,14.5306248
Waldskilift – Wald (Faistenau),,,802,944,0.8,0.8,0,0,2,,,,,1,1,,,,,,,,,
Zlaim – Grundlsee,,,760,900,1,1,0,0,2,,,,,1,1,,,,,,,,47.6171527,13.8350939
Zwölferhorn – St. Gilgen,,,560,1522,7,1,5,1,2,,1,,,1,,,,,,,2017-12-23,2018-03-18,47.7333333,13.35
Annerlbauerlifte – Krieglach,,,920,970,0.5,0.5,0,0,2,,,,,,,,,,,,,,47.5751111,15.555368
Arabichl – Kirchberg am Wechsel,,,1350,1593,2,2,0,0,2,,,,,,,,,,,,,,47.573866,15.9079862
Aschaulift – Koppl,,,765,780,0.5,0.5,0,0,2,,,,,,2,,,,,,,,,
Bachrain – Golling an der Salzach,,,845,960,0.5,0.5,0,0,2,,,,,,,,,,,,,,47.6098925,13.2156213
Birkenlift,,,1180,1236,1,1,0,0,2,,,,,,,1,,,,,,,47.3368861,11.1788638
Boden (Pfafflar),,,1350,1400,1,1,0,0,2,,,,,,2,,,,,,,,47.28359,10.6063199
Frauenstaffl – Ulrichsberg (Waidhofen an der Thaya),,,510,600,0.8,0.8,0,0,2,,,,,,,,,,,,,,,
Gries (Längenfeld),,,1600,1700,0.5,0.5,0,0,2,,,,,,,,,,,,,,47.0710139,11.0240195
Gut Enghagen – Roßleithen,,,630,690,0.5,0.5,0,0,2,,,,,,,,,,,,,,47.719135,14.2618376
