country,resort,name,year,month,date,lower,upper
Austria,Scheffau,Scheffau,2015,3,2015-03-01,40,64
Austria,Scheffau,Scheffau,2016,3,2016-03-01,48,59
Austria,Scheffau,Scheffau,2014,4,2014-04-01,0,0
Austria,Scheffau,Scheffau,2015,4,2015-04-01,6,17
Austria,Scheffau,Scheffau,2016,4,2016-04-01,1,2
Austria,Obertauern,Obertauern,2013,11,2013-11-01,22,40
Austria,Obertauern,Obertauern,2015,11,2015-11-01,14,24
Austria,Obertauern,Obertauern,2016,11,2016-11-01,20,40
Austria,Obertauern,Obertauern,2013,12,2013-12-01,90,128
Austria,Obertauern,Obertauern,2014,12,2014-12-01,56,83
Austria,Obertauern,Obertauern,2015,12,2015-12-01,30,50
Austria,Obertauern,Obertauern,2016,12,2016-12-01,32,65
Austria,Obertauern,Obertauern,2014,1,2014-01-01,99,137
Austria,Obertauern,Obertauern,2015,1,2015-01-01,98,138
Austria,Obertauern,Obertauern,2016,1,2016-01-01,50,74
Austria,Obertauern,Obertauern,2017,1,2017-01-01,65,115
Austria,Obertauern,Obertauern,2014,2,2014-02-01,110,155
Austria,Obertauern,Obertauern,2015,2,2015-02-01,135,175
Austria,Obertauern,Obertauern,2016,2,2016-02-01,86,124
Austria,Obertauern,Obertauern,2014,3,2014-03-01,126,176
Austria,Obertauern,Obertauern,2015,3,2015-03-01,147,193
Austria,Obertauern,Obertauern,2016,3,2016-03-01,136,169
Austria,Obertauern,Obertauern,2014,4,2014-04-01,86,135
Austria,Obertauern,Obertauern,2015,4,2015-04-01,140,196
Austria,Obertauern,Obertauern,2016,4,2016-04-01,100,134
Austria,Solden,Solden,2013,11,2013-11-01,8,115
Austria,Solden,Solden,2015,11,2015-11-01,0,95
Austria,Solden,Solden,2016,11,2016-11-01,8,119
Austria,Solden,Solden,2013,12,2013-12-01,7,162
Austria,Solden,Solden,2014,12,2014-12-01,6,216
Austria,Solden,Solden,2015,12,2015-12-01,4,135
Austria,Solden,Solden,2016,12,2016-12-01,10,138
Austria,Solden,Solden,2014,1,2014-01-01,10,213
Austria,Solden,Solden,2015,1,2015-01-01,7,260
Austria,Solden,Solden,2016,1,2016-01-01,11,190
Austria,Solden,Solden,2017,1,2017-01-01,10,158
Austria,Solden,Solden,2014,2,2014-02-01,12,270
Austria,Solden,Solden,2015,2,2015-02-01,16,299
Austria,Solden,Solden,2016,2,2016-02-01,15,262
Austria,Solden,Solden,2014,3,2014-03-01,7,284
Austria,Solden,Solden,2015,3,2015-03-01,5,327
Austria,Solden,Solden,2016,3,2016-03-01,12,303
Austria,Solden,Solden,2014,4,2014-04-01,0,298
Austria,Solden,Solden,2015,4,2015-04-01,3,318
Austria,Solden,Solden,2016,4,2016-04-01,2,295
Austria,Ischgl,Ischgl,2013,11,2013-11-01,3,15
Austria,Ischgl,Ischgl,2015,11,2015-11-01,2,90
Austria,Ischgl,Ischgl,2016,11,2016-11-01,0,16
Austria,Ischgl,Ischgl,2013,12,2013-12-01,15,60
Austria,Ischgl,Ischgl,2014,12,2014-12-01,10,51
Austria,Ischgl,Ischgl,2015,12,2015-12-01,4,30
Austria,Ischgl,Ischgl,2016,12,2016-12-01,2,40
Austria,Ischgl,Ischgl,2014,1,2014-01-01,16,66
Austria,Ischgl,Ischgl,2015,1,2015-01-01,10,67
Austria,Ischgl,Ischgl,2016,1,2016-01-01,21,60
Austria,Ischgl,Ischgl,2017,1,2017-01-01,11,46
Austria,Ischgl,Ischgl,2014,2,2014-02-01,31,93
Austria,Ischgl,Ischgl,2015,2,2015-02-01,29,85
Austria,Ischgl,Ischgl,2016,2,2016-02-01,30,94
Austria,Ischgl,Ischgl,2014,3,2014-03-01,24,111
Austria,Ischgl,Ischgl,2015,3,2015-03-01,17,100
Austria,Ischgl,Ischgl,2016,3,2016-03-01,27,93
Austria,Ischgl,Ischgl,2014,4,2014-04-01,0,96
